id,customer_id,order_date,amount_rm,product_family
order-0001-1,cust-0001,2025-11-08,14341.72,anchors
order-0001-2,cust-0001,2026-05-01,6896.0,firestop
order-0002-1,cust-0002,2026-02-04,14667.66,power_tools
order-0002-2,cust-0002,2025-06-26,6982.56,measuring
order-0002-3,cust-0002,2025-12-30,15033.32,anchors
order-0002-4,cust-0002,2026-04-16,9746.44,power_tools
order-0002-5,cust-0002,2025-11-04,5184.96,firestop
order-0003-1,cust-0003,2025-10-10,2434.35,anchors
order-0003-2,cust-0003,2026-04-30,9755.28,fasteners
order-0003-3,cust-0003,2025-05-20,3964.22,power_tools
order-0003-4,cust-0003,2025-12-17,5205.41,anchors
order-0003-5,cust-0003,2026-01-31,7245.69,fasteners
order-0004-1,cust-0004,2026-04-13,8998.84,measuring
order-0004-2,cust-0004,2025-11-26,9675.41,power_tools
order-0004-3,cust-0004,2025-07-21,7506.17,power_tools
order-0004-4,cust-0004,2025-10-10,7501.02,power_tools
order-0005-1,cust-0005,2025-11-19,2159.23,power_tools
order-0006-1,cust-0006,2025-07-01,1619.49,measuring
order-0006-2,cust-0006,2025-07-20,3658.3,anchors
order-0007-1,cust-0007,2025-07-08,19726.1,anchors
order-0007-2,cust-0007,2025-10-05,7192.34,measuring
order-0007-3,cust-0007,2025-11-19,15164.59,power_tools
order-0007-4,cust-0007,2025-05-19,7239.89,anchors
order-0007-5,cust-0007,2026-03-12,7508.66,power_tools
order-0008-1,cust-0008,2026-01-17,13170.81,firestop
order-0008-2,cust-0008,2025-09-02,11048.68,firestop
order-0008-3,cust-0008,2026-03-04,16254.08,power_tools
order-0008-4,cust-0008,2025-07-20,14676.38,measuring
order-0008-5,cust-0008,2026-02-13,9086.61,power_tools
order-0008-6,cust-0008,2025-05-09,14419.63,firestop
order-0009-1,cust-0009,2026-02-07,14102.12,fasteners
order-0009-2,cust-0009,2025-10-01,9281.0,power_tools
order-0009-3,cust-0009,2026-02-05,10499.99,fasteners
order-0009-4,cust-0009,2025-10-13,7713.19,power_tools
order-0009-5,cust-0009,2026-02-12,10166.69,measuring
order-0010-1,cust-0010,2025-11-04,6890.76,anchors
order-0010-2,cust-0010,2025-12-08,13900.47,anchors
order-0010-3,cust-0010,2025-09-09,12271.21,fasteners
order-0010-4,cust-0010,2025-12-18,10221.49,measuring
order-0010-5,cust-0010,2026-04-24,14885.95,power_tools
order-0010-6,cust-0010,2025-06-03,7201.44,fasteners
order-0011-1,cust-0011,2026-01-09,3350.41,firestop
order-0011-2,cust-0011,2025-07-19,2611.64,measuring
order-0011-3,cust-0011,2025-07-31,6688.08,firestop
order-0011-4,cust-0011,2025-08-19,8527.11,anchors
order-0011-5,cust-0011,2026-03-03,7813.3,measuring
order-0011-6,cust-0011,2025-12-27,6357.49,power_tools
order-0012-1,cust-0012,2025-10-20,15615.37,fasteners
order-0012-2,cust-0012,2026-03-25,10909.41,anchors
order-0012-3,cust-0012,2026-01-06,8605.05,power_tools
order-0012-4,cust-0012,2025-11-15,13712.56,anchors
order-0013-1,cust-0013,2026-01-22,13094.95,firestop
order-0013-2,cust-0013,2025-12-21,7680.2,power_tools
order-0014-1,cust-0014,2026-04-22,3850.7,fasteners
order-0014-2,cust-0014,2025-06-08,3099.32,anchors
order-0015-1,cust-0015,2025-10-25,7950.49,power_tools
order-0015-2,cust-0015,2025-10-02,2690.44,power_tools
order-0015-3,cust-0015,2025-09-11,8542.71,power_tools
order-0015-4,cust-0015,2025-08-09,6182.16,measuring
order-0015-5,cust-0015,2025-08-17,2952.56,fasteners
order-0016-1,cust-0016,2025-09-08,15010.43,fasteners
order-0016-2,cust-0016,2026-04-27,9970.24,fasteners
order-0017-1,cust-0017,2025-11-10,13000.17,measuring
order-0018-1,cust-0018,2025-06-10,4971.98,power_tools
order-0018-2,cust-0018,2026-03-09,12578.73,firestop
order-0018-3,cust-0018,2026-02-17,13150.85,firestop
order-0019-1,cust-0019,2025-10-07,9282.98,measuring
order-0019-2,cust-0019,2025-06-19,14608.05,fasteners
order-0019-3,cust-0019,2026-02-10,14688.04,power_tools
order-0019-4,cust-0019,2025-12-11,7131.75,measuring
order-0020-1,cust-0020,2025-07-22,12352.24,power_tools
order-0020-2,cust-0020,2026-02-10,5499.43,measuring
order-0020-3,cust-0020,2025-09-13,4058.83,anchors
order-0020-4,cust-0020,2026-01-27,5729.3,fasteners
order-0020-5,cust-0020,2025-05-24,10623.06,anchors
order-0021-1,cust-0021,2025-09-10,9077.35,power_tools
order-0021-2,cust-0021,2025-10-01,8795.32,anchors
order-0022-1,cust-0022,2026-01-05,5758.45,firestop
order-0022-2,cust-0022,2025-05-29,9050.24,anchors
order-0022-3,cust-0022,2025-06-06,16175.12,measuring
order-0022-4,cust-0022,2025-09-29,10567.08,measuring
order-0022-5,cust-0022,2026-04-15,16464.91,firestop
order-0022-6,cust-0022,2025-09-04,10577.06,power_tools
order-0023-1,cust-0023,2026-01-12,10576.76,measuring
order-0023-2,cust-0023,2025-08-30,7323.77,measuring
order-0023-3,cust-0023,2026-04-15,10892.62,anchors
order-0024-1,cust-0024,2026-03-29,8207.7,firestop
order-0024-2,cust-0024,2025-09-26,14641.45,anchors
order-0024-3,cust-0024,2025-10-31,11660.77,measuring
order-0024-4,cust-0024,2026-03-21,10710.37,power_tools
order-0024-5,cust-0024,2025-10-13,11783.31,firestop
order-0025-1,cust-0025,2025-08-30,14413.32,power_tools
order-0026-1,cust-0026,2025-07-09,10345.08,power_tools
order-0026-2,cust-0026,2025-10-27,8833.25,power_tools
order-0026-3,cust-0026,2025-08-15,12443.6,anchors
order-0027-1,cust-0027,2026-01-07,10949.08,firestop
order-0027-2,cust-0027,2025-11-02,13179.06,measuring
order-0027-3,cust-0027,2026-03-12,9148.6,measuring
order-0027-4,cust-0027,2025-11-10,4375.26,fasteners
order-0027-5,cust-0027,2025-09-04,6746.56,anchors
order-0027-6,cust-0027,2025-08-10,3751.96,anchors
order-0028-1,cust-0028,2025-10-12,5449.15,measuring
order-0028-2,cust-0028,2025-12-10,3798.76,measuring
order-0028-3,cust-0028,2026-02-20,8451.14,anchors
order-0028-4,cust-0028,2026-01-21,4850.0,anchors
order-0028-5,cust-0028,2026-04-11,7770.43,firestop
