id,customer_id,salesperson_id,visited_at,outcome,notes
visit-0001-1,cust-0001,sp-kl-central,2026-04-14,follow_up,Synthetic follow up visit.
visit-0002-1,cust-0002,sp-kl-central,2025-12-26,follow_up,Synthetic follow up visit.
visit-0002-2,cust-0002,sp-kl-central,2025-10-16,order,Synthetic order visit.
visit-0002-3,cust-0002,sp-kl-central,2026-03-14,closed,Synthetic closed visit.
visit-0002-4,cust-0002,sp-kl-central,2026-04-16,follow_up,Synthetic follow up visit.
visit-0002-5,cust-0002,sp-kl-central,2026-02-02,order,Synthetic order visit.
visit-0003-1,cust-0003,sp-kl-central,2026-02-19,no_interest,Synthetic no interest visit.
visit-0003-2,cust-0003,sp-kl-central,2025-09-15,no_interest,Synthetic no interest visit.
visit-0003-3,cust-0003,sp-kl-central,2025-11-06,order,Synthetic order visit.
visit-0004-1,cust-0004,sp-kl-central,2026-03-23,follow_up,Synthetic follow up visit.
visit-0005-1,cust-0005,sp-kl-central,2026-01-01,order,Synthetic order visit.
visit-0006-1,cust-0006,sp-kl-central,2025-10-16,closed,Synthetic closed visit.
visit-0006-2,cust-0006,sp-kl-central,2026-02-05,follow_up,Synthetic follow up visit.
visit-0006-3,cust-0006,sp-kl-central,2026-03-15,follow_up,Synthetic follow up visit.
visit-0006-4,cust-0006,sp-kl-central,2025-12-02,order,Synthetic order visit.
visit-0007-1,cust-0007,sp-kl-central,2025-12-18,order,Synthetic order visit.
visit-0007-2,cust-0007,sp-kl-central,2025-10-11,order,Synthetic order visit.
visit-0008-1,cust-0008,sp-kl-central,2026-01-27,order,Synthetic order visit.
visit-0008-2,cust-0008,sp-kl-central,2026-03-06,follow_up,Synthetic follow up visit.
visit-0008-3,cust-0008,sp-kl-central,2025-09-11,order,Synthetic order visit.
visit-0008-4,cust-0008,sp-kl-central,2026-01-28,order,Synthetic order visit.
visit-0008-5,cust-0008,sp-kl-central,2026-02-07,follow_up,Synthetic follow up visit.
visit-0009-1,cust-0009,sp-kl-central,2026-02-19,follow_up,Synthetic follow up visit.
visit-0009-2,cust-0009,sp-kl-central,2026-04-29,follow_up,Synthetic follow up visit.
visit-0009-3,cust-0009,sp-kl-central,2025-12-06,follow_up,Synthetic follow up visit.
visit-0009-4,cust-0009,sp-kl-central,2026-03-22,no_interest,Synthetic no interest visit.
visit-0010-1,cust-0010,sp-kl-central,2025-10-16,order,Synthetic order visit.
visit-0011-1,cust-0011,sp-kl-central,2026-02-25,follow_up,Synthetic follow up visit.
visit-0012-1,cust-0012,sp-kl-central,2026-01-28,closed,Synthetic closed visit.
visit-0012-2,cust-0012,sp-kl-central,2025-09-24,no_interest,Synthetic no interest visit.
visit-0012-3,cust-0012,sp-kl-central,2026-03-25,closed,Synthetic closed visit.
visit-0012-4,cust-0012,sp-kl-central,2026-03-04,no_interest,Synthetic no interest visit.
visit-0013-1,cust-0013,sp-kl-central,2025-11-10,order,Synthetic order visit.
visit-0013-2,cust-0013,sp-kl-central,2025-09-30,follow_up,Synthetic follow up visit.
visit-0013-3,cust-0013,sp-kl-central,2025-10-07,order,Synthetic order visit.
visit-0014-1,cust-0014,sp-kl-central,2025-09-20,follow_up,Synthetic follow up visit.
visit-0015-1,cust-0015,sp-kl-central,2026-01-19,follow_up,Synthetic follow up visit.
visit-0015-2,cust-0015,sp-kl-central,2025-12-06,no_interest,Synthetic no interest visit.
visit-0015-3,cust-0015,sp-kl-central,2026-04-17,order,Synthetic order visit.
visit-0015-4,cust-0015,sp-kl-central,2025-12-13,order,Synthetic order visit.
visit-0015-5,cust-0015,sp-kl-central,2025-11-23,no_interest,Synthetic no interest visit.
visit-0016-1,cust-0016,sp-kl-central,2026-02-12,order,Synthetic order visit.
visit-0016-2,cust-0016,sp-kl-central,2025-11-20,order,Synthetic order visit.
visit-0016-3,cust-0016,sp-kl-central,2026-01-03,order,Synthetic order visit.
visit-0016-4,cust-0016,sp-kl-central,2026-04-07,no_interest,Synthetic no interest visit.
visit-0017-1,cust-0017,sp-kl-central,2026-04-17,order,Synthetic order visit.
visit-0017-2,cust-0017,sp-kl-central,2026-04-14,order,Synthetic order visit.
visit-0017-3,cust-0017,sp-kl-central,2025-12-15,order,Synthetic order visit.
visit-0017-4,cust-0017,sp-kl-central,2025-11-11,order,Synthetic order visit.
visit-0018-1,cust-0018,sp-kl-central,2025-10-24,follow_up,Synthetic follow up visit.
visit-0018-2,cust-0018,sp-kl-central,2025-10-21,no_interest,Synthetic no interest visit.
visit-0019-1,cust-0019,sp-kl-central,2025-10-26,follow_up,Synthetic follow up visit.
visit-0020-1,cust-0020,sp-kl-central,2025-12-20,order,Synthetic order visit.
visit-0021-1,cust-0021,sp-kl-central,2025-09-17,follow_up,Synthetic follow up visit.
visit-0021-2,cust-0021,sp-kl-central,2025-12-06,follow_up,Synthetic follow up visit.
visit-0021-3,cust-0021,sp-kl-central,2026-03-13,order,Synthetic order visit.
visit-0021-4,cust-0021,sp-kl-central,2026-01-23,order,Synthetic order visit.
visit-0021-5,cust-0021,sp-kl-central,2026-01-02,order,Synthetic order visit.
visit-0022-1,cust-0022,sp-kl-central,2025-12-17,order,Synthetic order visit.
visit-0022-2,cust-0022,sp-kl-central,2026-03-01,order,Synthetic order visit.
visit-0022-3,cust-0022,sp-kl-central,2026-03-07,order,Synthetic order visit.
visit-0023-1,cust-0023,sp-kl-central,2025-10-29,order,Synthetic order visit.
visit-0023-2,cust-0023,sp-kl-central,2025-11-01,order,Synthetic order visit.
visit-0023-3,cust-0023,sp-kl-central,2025-10-07,follow_up,Synthetic follow up visit.
